,mal_id,title,airing,synopsis,type,episodes,score,members,rated,image_url
35,5554,Eguchi Hisashi no Nantoka Narudesho!,False,"Part anime, part live action, and part puppet show. This MAL entry duration will reflect the anime segment only. Nantoka Narudesho is a series of seemingly unrelated sketches. Viewer-be-warned, some s...",OVA,1,4.77,1929,R+,https://cdn.myanimelist.net/images/anime/11/58919.jpg?s=4dc99179d2fa12caad791f01ad4bc7d6
36,35072,Boruto: Jump Festa 2016 Special,False,The special anime adaptation of Boruto will be screening at Shueisha’s by-invitation anime event Jump Special Anime Festa 2016!,Special,1,6.17,13775,PG-13,https://cdn.myanimelist.net/images/anime/10/84622.jpg?s=c2abafee8537e4c7eb2225d2310cf617
37,840,Narue no Sekai,False,"Meet Narue, an adorable schoolgirl with a secret. She's really an alien with powers right out of a sci-fi comic! But growing up is never easy, and sometimes it doesn't help when you're from outer spac...",TV,12,6.54,17894,PG-13,https://cdn.myanimelist.net/images/anime/7/19048.jpg?s=67d9ecd185af80afe163db672fd821c2
38,30895,HaruChika: Haruta to Chika wa Seishun suru,False,"Chika Homura begins her high school career with a goal: to develop a ""cute girl"" persona. After quitting the volleyball team despite her all-star status, Chika decides to join her school's underrated...",TV,12,6.34,85911,PG-13,https://cdn.myanimelist.net/images/anime/6/77835.jpg?s=0d851d926bba48d6f496fa5988a59ad9
39,41005,Ane Naru Mono,False,"Since the death of his parents, young Yuu has suffered considerably from neglect and abuse at the hands of his adoptive relatives, who leave him to his own resources to survive. Fortunately, a girl na...",OVA,0,0.0,12607,,https://cdn.myanimelist.net/images/anime/1544/105268.jpg?s=0b53950de3a705b3c6cc9e99cb2e4525
40,335,Matantei Loki Ragnarok,False,"Loki, the Norse god of mischief, has been exiled to the human world for what was apparently a bad joke. Along with being exiled, he's forced to take the form of a child. He's told the only way he can...",TV,26,7.27,36605,PG-13,https://cdn.myanimelist.net/images/anime/13/75300.jpg?s=73a332998988f64e81d4c70550b3c9f4
41,37786,Yagate Kimi ni Naru,False,Yuu Koito has always been entranced with romantic shoujo manga and the lyrics of love songs. She patiently waits for the wings of love to sprout and send her heart aflutter on the day that she finally...,TV,13,7.91,285855,PG-13,https://cdn.myanimelist.net/images/anime/1783/96153.jpg?s=417ebf7092dad72389d824b840bf37b5
42,417,Ragnarök The Animation,False,"A great evil is sweeping over the realm; an evil that the young swordsman Roan and his life-long companion, the acolyte Yufa, must face head on! For these two travel toward their destiny, from the hig...",TV,26,6.45,46691,PG-13,https://cdn.myanimelist.net/images/anime/10/2589.jpg?s=6fa615e9abd5342098020d9256b56540
43,20457,"Inari, Konkon, Koi Iroha.",False,"Frazzle-haired middle schooler Inari Fushimi is less than average; she's painfully shy and horribly clumsy, but despite all this, she is undeniably kind. Running about the winding streets of her homet...",TV,10,7.2,151670,PG-13,https://cdn.myanimelist.net/images/anime/8/64897.jpg?s=7477f95e389a7af19cfc494a891a3922
44,15077,Tabisuru Nuigurumi: Traveling Daru,False,"Daru, a cherished handmade stuffed toy, gets lost and separated from its owner one day when at the airport. Determined to find her again, Daru sets out on a journey around the world in search of her....",Movie,1,7.2,4570,G,https://cdn.myanimelist.net/images/anime/1962/112790.jpg?s=714a2a926446d8da6ea002adae5d90f2
45,34262,Oushitsu Kyoushi Heine,False,"Equally charming and stern, Heine Wittgenstein is a brilliant man who commands respect, despite his short, childlike stature. Thus, the king of Grannzreich has called upon Heine to undertake a dauntin...",TV,12,7.47,127877,PG-13,https://cdn.myanimelist.net/images/anime/11/85517.jpg?s=5b4cce980727638c555010d93d7aedbb
46,6956,Working!!,False,"Due to his love for small, cute things, Souta Takanashi cannot turn childlike Popura Taneshima down when she recruits him to work for Wagnaria, a family restaurant located in Hokkaido. Takanashi takes...",TV,13,7.66,405321,PG-13,https://cdn.myanimelist.net/images/anime/10/75262.jpg?s=6077f0616e8fab853db4a3039b86c457
47,25879,Working!!!,False,"As the stories of those connected to Wagnaria come to a close, only one thing is certain: the workplace is about to get crazier than ever before! Whether it be incredibly awkward romances, relentless...",TV,13,7.98,228341,PG-13,https://cdn.myanimelist.net/images/anime/7/73886.jpg?s=522027c9dd38a3f0d2d210ea08ec9be2
48,33094,WWW.Working!!,False,Daisuke Higashida is a serious first-year student at Higashizaka High School. He lives a peaceful everyday life even though he is not satisfied with the family who doesn't laugh at all and makes him t...,TV,13,7.42,145018,PG-13,https://cdn.myanimelist.net/images/anime/11/82287.jpg?s=a9aa605b205fbcfae976d95d788fe985
49,33274,Onara Gorou,False,"Onara Gorou follows the everyday life of Gorou, the ""most admirable of farts,"" as he solves problems in ways that only a fart can. (Source: ANN)",TV,13,5.55,13522,PG,https://cdn.myanimelist.net/images/anime/2/79963.jpg?s=9369b0c0c34291a6f07fb8df6b4217f4
